Sex,EE,H2Omg,RQ,Animal_ID,Deg_C,weight,experiment,StartTime,SD_VCO2,SD_VO2,SD_H2Omg,VO2,VCO2,StartDate,FQ,block,hour
F,0.058416413789999996,3.934277,1.0185962167358664,1015,32.67498,21.87,Low Fat,05:41:14,0.0194,0.0112,0.1008062,0.1921251,0.1956979,2020-08-18,0.92266,cages13aug,5
F,0.052583491547999996,4.073096,1.1497299104142402,1015,32.95248,21.87,Low Fat,05:49:14,0.00852,0.0168,0.1486021,0.1681294,0.1933034,2020-08-18,0.92266,cages13aug,5
F,0.049170613128,4.009419,1.1231681848253283,1015,33.67375,21.87,Low Fat,06:25:14,0.0089,0.0152,0.0749,0.1581082,0.1775821,2020-08-18,0.92266,cages13aug,6
F,0.044344331849999995,3.866172,1.151385076046365,1015,33.88895,21.87,Low Fat,06:41:14,0.00849,0.0134,0.0351,0.1417359,0.1631926,2020-08-18,0.92266,cages13aug,6
F,0.047328437352,3.413539,0.9483719718017622,1015,33.68022,21.87,Low Fat,07:21:14,0.011,0.0131,0.0339,0.1580808,0.1499194,2020-08-18,0.92266,cages13aug,7
F,0.043287393029999996,3.430591,1.0528271898222155,1015,33.6207,21.87,Low Fat,07:45:14,0.00867,0.0144,0.0352,0.1413117,0.1487768,2020-08-18,0.92266,cages13aug,7
F,0.046017953982,3.330602,1.095791260834599,1015,33.70924,21.87,Low Fat,08:09:14,0.00855,0.021,0.0306,0.1488403,0.1630979,2020-08-18,0.92266,cages13aug,8
F,0.06577303168799999,3.126583,1.0707765503234457,1015,31.77712,21.87,Low Fat,08:41:14,0.00914,0.0171,0.0605,0.2138844,0.2290224,2020-08-18,0.92266,cages13aug,8
F,0.058416413789999996,3.934277,1.0185962167358664,1015,32.67498,21.87,Low Fat,09:11:15,0.0194,0.0112,0.1008062,0.1921251,0.1956979,2020-08-18,0.92266,cages13aug,9
F,0.052583491547999996,4.073096,1.1497299104142402,1015,32.95248,21.87,Low Fat,09:19:15,0.00852,0.0168,0.1486022,0.1681294,0.1933034,2020-08-18,0.92266,cages13aug,9
F,0.04917047125199999,4.009419,1.1231724471182916,1015,33.67375,21.87,Low Fat,09:55:15,0.0089,0.0152,0.0749,0.1581076,0.1775821,2020-08-18,0.92266,cages13aug,9
F,0.044344331849999995,3.866172,1.151385076046365,1015,33.88895,21.87,Low Fat,10:11:15,0.00849,0.0134,0.0351,0.1417359,0.1631926,2020-08-18,0.92266,cages13aug,10
F,0.047328437352,3.413538,0.9483719718017622,1015,33.68022,21.87,Low Fat,10:51:15,0.011,0.0131,0.0339,0.1580808,0.1499194,2020-08-18,0.92266,cages13aug,10
F,0.043287393029999996,3.430591,1.0528271898222155,1015,33.6207,21.87,Low Fat,11:15:15,0.00867,0.0144,0.0352,0.1413117,0.1487768,2020-08-18,0.92266,cages13aug,11
