StartTime,StartDate,Animal,VO2,SD_VO2,VCO2,SD_VCO2,Deg_C,delta_O2,deltaCO2,deltaH2O,BP,H2O_WVP,CO2,SS4_FR,H2Oml,SD_H2Oml,H2Omg,SD_H2Omg
5:41:14,8/18/20,5.83E-02,0.1921251,1.12E-02,0.1956979,1.94E-02,32.67498,1.12E-04,1.14E-04,2.74E-03,100.5549,0.9658796,6.02E-02,1737.69,4.740092,0.1214532,3.934277,0.1008062
5:49:14,8/18/20,5.83E-02,0.1681294,1.68E-02,0.1933034,8.52E-03,32.95248,1.01E-04,1.12E-04,2.83E-03,100.5548,0.965967,6.01E-02,1737.67,4.907344,0.1790386,4.073096,0.1486021
6:25:14,8/18/20,5.83E-02,0.1581082,1.52E-02,0.1775821,8.90E-03,33.67375,9.42E-05,1.03E-04,2.79E-03,100.5668,0.9523398,5.79E-02,1737.621,4.830626,0.0902911,4.009419,7.49E-02
6:41:14,8/18/20,5.83E-02,0.1417359,1.34E-02,0.1631926,8.49E-03,33.88895,8.50E-05,9.48E-05,2.69E-03,100.5519,0.9453542,5.65E-02,1737.644,4.658039,4.23E-02,3.866172,3.51E-02
7:21:14,8/18/20,5.83E-02,0.1580808,1.31E-02,0.1499194,1.10E-02,33.68022,9.08E-05,8.71E-05,2.37E-03,100.5391,0.8962221,5.49E-02,1737.65,4.112697,4.09E-02,3.413539,3.39E-02
7:45:14,8/18/20,5.83E-02,0.1413117,1.44E-02,0.1487768,8.67E-03,33.6207,8.30E-05,8.64E-05,2.38E-03,100.537,0.8894175,5.48E-02,1737.686,4.133242,4.24E-02,3.430591,3.52E-02
8:09:14,8/18/20,5.83E-02,0.1488403,2.10E-02,0.1630979,8.55E-03,33.70924,8.82E-05,9.47E-05,2.31E-03,100.5094,0.8875082,5.58E-02,1737.684,4.012774,3.69E-02,3.330602,3.06E-02
8:41:14,8/18/20,5.83E-02,0.2138844,1.71E-02,0.2290224,9.14E-03,31.77712,1.26E-04,1.33E-04,2.17E-03,100.4849,0.8535553,6.02E-02,1737.61,3.766968,7.29E-02,3.126583,6.05E-02
9:11:15,8/18/20,5.83E-02,0.1921251,1.12E-02,0.1956979,1.94E-02,32.67498,1.12E-04,1.14E-04,2.74E-03,100.5549,0.9658796,6.02E-02,1737.69,4.740093,0.1214532,3.934277,0.1008062
9:19:15,8/18/20,5.83E-02,0.1681294,1.68E-02,0.1933034,8.52E-03,32.95248,1.01E-04,1.12E-04,2.83E-03,100.5548,0.965967,6.01E-02,1737.67,4.907345,0.1790387,4.073096,0.1486022
9:55:15,8/18/20,5.83E-02,0.1581076,1.52E-02,0.1775821,8.90E-03,33.67375,9.42E-05,1.03E-04,2.79E-03,100.5668,0.9523398,5.79E-02,1737.621,4.830626,9.03E-02,4.009419,7.49E-02
10:11:15,8/18/20,5.83E-02,0.1417359,1.34E-02,0.1631926,8.49E-03,33.88895,8.50E-05,9.48E-05,2.69E-03,100.5519,0.9453542,5.65E-02,1737.644,4.658039,4.23E-02,3.866172,3.51E-02
10:51:15,8/18/20,5.83E-02,0.1580808,1.31E-02,0.1499194,1.10E-02,33.68022,9.08E-05,8.71E-05,2.37E-03,100.5391,0.8962221,5.49E-02,1737.65,4.112697,0.0408833,3.413538,3.39E-02
11:15:15,8/18/20,5.83E-02,0.1413117,1.44E-02,0.1487768,8.67E-03,33.6207,8.30E-05,8.64E-05,2.38E-03,100.537,0.8894175,5.48E-02,1737.686,4.133242,4.24E-02,3.430591,3.52E-02
11:39:15,8/18/20,5.83E-02,0.1488414,2.10E-02,0.1630979,8.55E-03,33.70924,8.82E-05,9.47E-05,2.31E-03,100.5094,0.8875082,5.58E-02,1737.684,4.012774,3.69E-02,3.330602,3.06E-02
12:11:15,8/18/20,5.83E-02,0.2114064,1.71E-02,0.2261751,9.03E-03,31.78317,1.25E-04,1.31E-04,2.13E-03,100.4849,0.8533121,6.02E-02,1737.608,3.688286,6.31E-02,3.061278,5.24E-02
12:41:16,8/18/20,5.83E-02,0.1721179,2.82E-02,0.1958822,1.26E-02,32.90812,1.03E-04,1.14E-04,2.31E-03,100.46,0.8669437,5.82E-02,1737.679,4.011042,4.17E-02,3.329165,3.46E-02
12:49:16,8/18/20,5.83E-02,0.1541457,1.96E-02,0.1653347,1.32E-02,31.96675,9.08E-05,9.60E-05,2.12E-03,100.4739,0.8448691,5.64E-02,1737.635,3.682423,2.58E-02,3.056411,2.14E-02
13:25:16,8/18/20,5.83E-02,0.1424269,0.0148303,0.14333,7.78E-03,32.98652,8.28E-05,8.32E-05,2.00E-03,100.4836,0.8287606,5.48E-02,1737.615,3.465198,4.36E-02,2.876114,3.62E-02
13:41:16,8/18/20,5.83E-02,0.1575129,1.23E-02,0.1444188,9.12E-03,32.89812,8.98E-05,8.38E-05,1.93E-03,100.4779,0.8187753,5.47E-02,1737.635,3.351932,2.91E-02,2.782104,2.41E-02
14:21:16,8/18/20,5.83E-02,0.1719307,2.99E-02,0.1595441,7.52E-03,32.8138,9.82E-05,9.25E-05,1.78E-03,100.451,0.798771,5.55E-02,1737.71,3.081943,5.23E-02,2.558012,4.34E-02
14:45:16,8/18/20,5.83E-02,0.1974352,1.98E-02,0.2177234,9.32E-03,32.98743,1.17E-04,1.26E-04,1.64E-03,100.4281,0.7901188,6.01E-02,1737.753,2.838042,7.92E-02,2.355575,6.57E-02
15:09:16,8/18/20,5.83E-02,0.1745437,1.32E-02,0.1749747,1.11E-02,32.8252,1.01E-04,1.01E-04,1.63E-03,100.4195,0.771602,5.66E-02,1737.654,2.819738,3.59E-02,2.340382,2.98E-02
15:41:16,8/18/20,5.83E-02,0.1411768,1.57E-02,0.1624882,1.02E-02,32.94398,8.45E-05,9.42E-05,1.48E-03,100.4152,0.75796,5.57E-02,1737.63,2.574564,1.85E-02,2.136888,1.54E-02
16:11:17,8/18/20,5.83E-02,0.1769951,2.51E-02,0.1886249,8.23E-03,32.93383,1.04E-04,1.09E-04,1.48E-03,100.4047,0.7569194,5.71E-02,1737.694,2.570679,4.28E-02,2.133664,3.55E-02
16:19:17,8/18/20,5.83E-02,0.173317,0.0119787,0.1739903,9.55E-03,32.94458,1.01E-04,1.01E-04,1.50E-03,100.4112,0.7601426,5.62E-02,1737.699,2.595179,4.07E-02,2.153998,3.38E-02
16:55:17,8/18/20,5.83E-02,0.1639802,1.19E-02,0.1635126,1.06E-02,32.93024,9.50E-05,9.48E-05,1.43E-03,100.4238,0.7394786,5.57E-02,1737.645,2.473765,2.26E-02,2.053225,1.87E-02
17:11:17,8/18/20,5.83E-02,0.1771046,9.14E-03,0.1618868,1.00E-02,32.85743,1.01E-04,9.38E-05,1.37E-03,100.4367,0.7340332,5.57E-02,1737.644,2.382058,2.77E-02,1.977108,2.30E-02
17:51:17,8/18/20,5.83E-02,0.2636537,0.0173186,0.2356389,7.96E-03,32.87024,1.49E-04,1.37E-04,1.36E-03,100.4627,0.7368111,5.98E-02,1737.654,2.3582,4.22E-02,1.957306,3.50E-02
18:15:17,8/18/20,5.83E-02,0.1853537,1.90E-02,0.1774406,1.01E-02,32.83857,1.06E-04,1.03E-04,1.36E-03,100.488,0.7350193,5.67E-02,1737.685,2.360347,3.53E-02,1.959087,2.93E-02
18:39:17,8/18/20,5.83E-02,0.1730345,1.11E-02,0.2022718,8.10E-03,32.81028,1.04E-04,1.17E-04,1.32E-03,100.5471,0.730181,5.80E-02,1737.575,2.296985,2.67E-02,1.906497,2.22E-02
19:11:17,8/18/20,5.83E-02,0.1606379,2.07E-02,0.179958,1.22E-02,32.92007,9.55E-05,1.04E-04,1.32E-03,100.6046,0.7347285,5.70E-02,1737.701,2.282628,2.04E-02,1.894581,1.70E-02
19:41:18,8/18/20,5.83E-02,0.2060996,1.33E-02,0.2242136,1.12E-02,32.98062,1.22E-04,1.30E-04,1.57E-03,100.5974,0.7579207,5.95E-02,1737.848,2.724825,4.02E-02,2.261605,3.33E-02
19:49:18,8/18/20,5.83E-02,0.1868321,1.30E-02,0.2163739,9.19E-03,32.8924,1.12E-04,1.25E-04,1.51E-03,100.5998,0.757983,5.92E-02,1737.567,2.628283,0.1257627,2.181475,0.104383
