StartTime,StartDate,Animal,VO2,SD_VO2,VCO2,SD_VCO2,Deg_C,delta_O2,deltaCO2,deltaH2O,BP,H2O_WVP,CO2,SS4_FR,H2Oml,SD_H2Oml,H2Omg,SD_H2Omg
2:38:22,9/15/20,5.83E-02,1.132388,0.0359494,1.176679,1.74E-02,22.20972,6.20E-04,6.39E-04,2.69E-03,102.3169,0.9187982,0.1154403,1857.661,4.991182,4.21E-02,4.142682,3.49E-02
2:46:22,9/15/20,5.83E-02,0.9441041,2.40E-02,0.9187368,1.61E-02,22.37115,5.10E-04,4.99E-04,2.59E-03,102.321,0.9018728,0.1015596,1858.706,4.798845,4.27E-02,3.983042,3.55E-02
3:22:22,9/15/20,5.83E-02,0.4710605,2.04E-02,0.4729404,1.26E-02,24.43997,2.56E-04,2.57E-04,2.47E-03,102.3674,0.9076052,7.69E-02,1858.911,4.587039,4.58E-02,3.807243,3.80E-02
3:38:22,9/15/20,5.83E-02,0.4853597,0.0182638,0.5169748,1.08E-02,25.39097,2.67E-04,2.81E-04,2.97E-03,102.3992,0.9617888,7.87E-02,1859.886,5.498439,5.09E-02,4.563704,4.22E-02
4:18:22,9/15/20,5.83E-02,0.3548216,1.73E-02,0.3669011,1.10E-02,27.74895,1.94E-04,1.99E-04,3.32E-03,102.4413,1.016306,6.90E-02,1858.629,6.149419,0.5705082,5.104018,0.4735218
4:42:22,9/15/20,5.83E-02,0.3820573,1.84E-02,0.38518,1.06E-02,29.51342,2.08E-04,2.09E-04,3.57E-03,102.4512,1.048355,6.97E-02,1858.961,6.619008,0.8613687,5.493776,0.714936
5:06:22,9/15/20,5.83E-02,0.3340131,0.022344,0.3528564,1.02E-02,30.87387,1.84E-04,1.92E-04,4.03E-03,102.4371,1.083497,6.71E-02,1856.135,7.448031,0.1430883,6.181866,0.1187633
5:38:22,9/15/20,5.83E-02,0.4287051,2.77E-02,0.4937865,2.44E-02,32.9183,2.41E-04,2.69E-04,4.68E-03,102.4399,1.117412,7.42E-02,1858.018,8.650316,0.4454798,7.179763,0.3697482
6:08:23,9/15/20,5.83E-02,1.132388,3.59E-02,1.176679,1.74E-02,22.20972,6.20E-04,6.39E-04,2.69E-03,102.3169,0.9187982,0.1154403,1857.661,4.991182,0.0420623,4.142682,3.49E-02
6:16:23,9/15/20,5.83E-02,0.9441041,2.40E-02,0.9187368,1.61E-02,22.37115,5.10E-04,4.99E-04,2.59E-03,102.321,0.9018728,0.1015596,1858.706,4.798845,4.27E-02,3.983042,3.55E-02
6:52:23,9/15/20,5.83E-02,0.4710605,2.04E-02,0.4729404,1.26E-02,24.43997,2.56E-04,2.57E-04,2.47E-03,102.3674,0.9076052,7.69E-02,1858.911,4.587039,4.58E-02,3.807243,3.80E-02
7:08:23,9/15/20,5.83E-02,0.4853597,0.0182638,0.5169748,1.08E-02,25.39097,2.67E-04,2.81E-04,2.97E-03,102.3992,0.9617888,7.87E-02,1859.886,5.498438,5.09E-02,4.563704,4.22E-02
7:48:23,9/15/20,5.83E-02,0.3548216,1.73E-02,0.3669011,0.0110063,27.74895,1.94E-04,1.99E-04,3.32E-03,102.4413,1.016306,6.90E-02,1858.629,6.149419,0.5705081,5.104018,0.4735217
8:12:23,9/15/20,5.83E-02,0.3820574,1.84E-02,0.3851799,1.06E-02,29.51342,2.08E-04,2.09E-04,3.57E-03,102.4512,1.048355,6.97E-02,1858.961,6.619008,0.8613687,5.493776,0.714936
