StartTime,StartDate,Animal,VO2,SD_VO2,VCO2,SD_VCO2,Deg_C,delta_O2,deltaCO2,deltaH2O,BP,H2O_WVP,CO2,SS4_FR,H2Oml,SD_H2Oml,H2Omg,SD_H2Omg
11:43:46,8/21/20,5.83E-02,0.6968822,0.0227299,0.6077978,3.03E-02,32.92967,3.93E-04,3.52E-04,2.50E-03,100.5809,0.9157782,8.50E-02,1740.981,4.346186,4.42E-02,3.607334,3.67E-02
11:51:46,8/21/20,5.83E-02,0.9377769,3.50E-02,0.7469733,4.32E-02,32.90162,5.19E-04,4.32E-04,2.71E-03,100.5758,0.9250604,0.0906909,1745.27,4.718128,0.0942745,3.916046,7.82E-02
12:27:46,8/21/20,5.83E-02,0.4652184,4.74E-02,0.4726063,5.00E-02,32.81172,2.69E-04,2.73E-04,2.53E-03,100.5529,0.8927934,7.31E-02,1749.231,4.409302,6.99E-02,3.65972,0.0580394
12:43:46,8/21/20,5.83E-02,0.1418782,2.07E-02,0.1366336,1.40E-02,32.88993,8.11E-05,7.87E-05,2.25E-03,100.5528,0.8645734,0.0539244,1750.871,3.933988,0.4107761,3.26521,0.3409441
13:23:46,8/21/20,5.83E-02,0.2451758,1.75E-02,0.2546691,8.35E-03,32.81229,1.42E-04,1.47E-04,2.11E-03,100.545,0.8467948,6.04E-02,1751.705,3.682056,3.35E-02,3.056107,2.78E-02
13:47:46,8/21/20,5.83E-02,0.2622288,1.64E-02,0.251636,9.12E-03,32.93137,1.50E-04,1.45E-04,2.04E-03,100.5657,0.8332055,6.04E-02,1753.268,3.572965,7.61E-02,2.96556,0.063164
14:11:46,8/21/20,5.83E-02,0.2756861,1.96E-02,0.2625059,8.82E-03,32.94682,1.57E-04,1.51E-04,1.96E-03,100.5949,0.8294631,6.09E-02,1757.481,3.445507,2.59E-02,2.859771,2.15E-02
14:43:46,8/21/20,5.83E-02,0.2822494,2.23E-02,0.262127,1.06E-02,32.91887,1.59E-04,1.50E-04,2.08E-03,100.6505,0.8518971,6.03E-02,1761.815,3.656168,0.0364792,3.034619,3.03E-02
15:13:47,8/21/20,5.83E-02,0.6968828,2.27E-02,0.6077978,3.03E-02,32.92967,3.93E-04,3.52E-04,2.50E-03,100.5809,0.9157782,8.50E-02,1740.981,4.346186,4.42E-02,3.607334,3.67E-02
15:21:47,8/21/20,5.83E-02,0.9377769,3.50E-02,0.7469732,4.32E-02,32.90162,5.19E-04,4.32E-04,2.71E-03,100.5758,0.9250604,0.0906909,1745.27,4.718128,0.0942745,3.916046,7.82E-02
15:57:47,8/21/20,5.83E-02,0.4652184,4.74E-02,0.4726063,5.00E-02,32.81172,2.69E-04,2.73E-04,2.53E-03,100.5529,0.8927934,7.31E-02,1749.231,4.409302,6.99E-02,3.65972,0.0580394
16:13:47,8/21/20,5.83E-02,0.1418782,2.07E-02,0.1366336,1.40E-02,32.88993,8.11E-05,7.87E-05,2.25E-03,100.5528,0.8645734,0.0539244,1750.871,3.933988,0.4107761,3.26521,0.3409441
16:53:47,8/21/20,5.83E-02,0.2451758,1.75E-02,0.2546691,8.35E-03,32.81229,1.42E-04,1.47E-04,2.11E-03,100.545,0.8467948,6.04E-02,1751.705,3.682056,3.35E-02,3.056107,2.78E-02
17:17:47,8/21/20,5.83E-02,0.2622288,1.64E-02,0.251636,9.12E-03,32.93137,1.50E-04,1.45E-04,2.04E-03,100.5657,0.8332055,6.04E-02,1753.268,3.572964,7.61E-02,2.96556,6.32E-02
17:41:47,8/21/20,5.83E-02,0.2756861,1.96E-02,0.2625059,8.82E-03,32.94682,1.57E-04,1.51E-04,1.96E-03,100.5949,0.8294631,6.09E-02,1757.481,3.445507,2.59E-02,2.859771,2.15E-02
18:13:47,8/21/20,5.83E-02,0.2716153,2.21E-02,0.2479752,1.04E-02,32.91887,1.53E-04,1.42E-04,2.06E-03,100.6505,0.8518971,6.03E-02,1761.815,3.621752,3.57E-02,3.006054,0.0296275
18:43:48,8/21/20,5.83E-02,0.416022,7.33E-02,0.3823682,8.25E-02,32.7982,2.34E-04,2.19E-04,2.04E-03,100.6848,0.8450579,6.76E-02,1761.562,3.588736,0.1566409,2.978651,0.1300119
18:51:48,8/21/20,5.83E-02,0.5990235,6.83E-02,0.5734376,5.67E-02,32.95562,3.40E-04,3.28E-04,2.21E-03,100.7364,0.8592793,7.83E-02,1763.195,3.886495,4.61E-02,3.225791,3.82E-02
19:27:48,8/21/20,5.83E-02,0.3115105,1.90E-02,0.2760888,8.41E-03,32.8085,1.74E-04,1.58E-04,2.29E-03,100.7502,0.8653148,6.19E-02,1764.371,4.023907,2.56E-02,3.339843,2.13E-02
19:43:48,8/21/20,5.83E-02,0.3540101,2.06E-02,0.3153973,1.17E-02,32.94963,1.98E-04,1.80E-04,2.13E-03,100.7547,0.8519264,6.45E-02,1763.045,3.73879,3.53E-02,3.103196,2.93E-02
20:23:48,8/21/20,5.83E-02,0.6374956,4.22E-02,0.5948507,4.41E-02,30.15092,3.59E-04,3.40E-04,2.14E-03,100.7508,0.8774452,8.15E-02,1765.84,3.779211,2.77E-02,3.136745,0.023021
20:47:48,8/21/20,5.83E-02,0.7337094,0.0290207,0.6546274,2.09E-02,25.9448,4.10E-04,3.74E-04,1.22E-03,100.7664,0.8930402,8.58E-02,1766.17,2.154111,0.0354904,1.787912,2.95E-02
21:11:48,8/21/20,5.83E-02,0.8238878,1.01E-02,0.6893877,1.58E-02,21.6752,4.54E-04,3.93E-04,5.15E-04,100.8056,0.8732554,8.80E-02,1767.182,0.9102671,1.43E-02,0.7555216,1.19E-02
