StartTime,StartDate,Animal,VO2,SD_VO2,VCO2,SD_VCO2,Deg_C,delta_O2,deltaCO2,deltaH2O,BP,H2O_WVP,CO2,SS4_FR,H2Oml,SD_H2Oml,H2Omg,SD_H2Omg
16:56:58,2/26/20,5.83E-02,0.2281869,8.67E-03,0.2282598,9.35E-03,32.5962,1.32E-04,1.32E-04,1.49E-03,101.2798,0.6875836,6.33E-02,1737.794,2.587216,2.28E-02,2.14739,1.89E-02
17:04:58,2/26/20,5.83E-02,0.2667145,0.0126071,0.2492605,1.11E-02,32.41748,1.52E-04,1.44E-04,1.45E-03,101.2858,0.6802225,6.44E-02,1737.79,2.508269,0.0258057,2.081863,2.14E-02
17:40:58,2/26/20,5.83E-02,0.3270879,0.0112244,0.3065946,1.07E-02,32.72027,1.87E-04,1.78E-04,1.31E-03,101.3149,0.6689002,6.72E-02,1737.649,2.274415,1.87E-02,1.887765,1.55E-02
17:56:58,2/26/20,5.83E-02,0.4740965,2.17E-02,0.4597885,1.25E-02,32.7549,2.73E-04,2.66E-04,1.47E-03,101.3185,0.6881938,7.58E-02,1737.74,2.549443,2.23E-02,2.116037,1.85E-02
18:36:58,2/26/20,5.83E-02,0.2542918,1.80E-02,0.2516004,9.20E-03,32.75605,1.47E-04,1.46E-04,1.28E-03,101.3303,0.6653791,6.36E-02,1737.747,2.213613,0.0295816,1.837299,2.46E-02
19:00:58,2/26/20,5.83E-02,0.286747,1.13E-02,0.2884246,1.07E-02,32.75802,1.66E-04,1.67E-04,1.16E-03,101.3317,0.656299,6.57E-02,1737.868,2.019307,2.47E-02,1.676025,2.05E-02
19:24:58,2/26/20,5.83E-02,0.4229947,2.97E-02,0.3999021,1.03E-02,32.78059,2.42E-04,2.32E-04,1.13E-03,101.3203,0.6523663,7.18E-02,1737.771,1.968788,2.26E-02,1.634094,1.87E-02
19:56:58,2/26/20,5.83E-02,0.4221718,1.40E-02,0.3876972,1.08E-02,32.73437,2.40E-04,2.25E-04,1.25E-03,101.2862,0.6615862,7.14E-02,1737.789,2.167956,2.05E-02,1.799403,1.70E-02
20:26:59,2/26/20,5.83E-02,0.6444817,2.06E-02,0.5933625,1.23E-02,27.44567,3.67E-04,3.44E-04,7.83E-04,101.273,0.6924604,8.43E-02,1737.796,1.359375,1.73E-02,1.128282,1.44E-02
20:34:59,2/26/20,5.83E-02,0.892305,2.62E-02,0.8109588,2.30E-02,23.83199,5.07E-04,4.70E-04,6.25E-04,101.2463,0.6924112,9.69E-02,1737.733,1.08544,1.91E-02,0.9009154,1.59E-02
21:10:59,2/26/20,5.83E-02,1.142639,1.79E-02,0.9629975,1.96E-02,19.16207,6.40E-04,5.58E-04,-1.65E-04,101.2387,0.6504213,0.105883,1737.721,-0.2865194,1.50E-02,-0.2378111,1.25E-02
21:26:59,2/26/20,5.83E-02,1.243951,4.21E-02,1.034684,2.02E-02,18.1253,6.95E-04,5.99E-04,-2.93E-04,101.209,0.6429429,0.1102572,1737.726,-0.510056,2.43E-02,-0.4233465,2.01E-02
22:06:59,2/26/20,5.83E-02,1.27681,2.91E-02,1.097265,1.83E-02,19.295,7.18E-04,6.36E-04,9.26E-05,101.1594,0.7260394,0.1138024,1737.748,0.1608604,1.51E-02,0.1335141,1.25E-02
22:30:59,2/26/20,5.83E-02,1.233323,4.80E-02,1.044186,4.56E-02,22.68282,6.92E-04,6.05E-04,1.22E-04,101.1649,0.7297077,0.1105185,1737.803,0.2127232,2.85E-02,0.1765603,2.36E-02
22:54:59,2/26/20,5.83E-02,1.34556,2.26E-02,1.124253,1.88E-02,19.51037,7.53E-04,6.52E-04,3.34E-04,101.1119,0.7687277,0.1150761,1737.745,0.579403,2.07E-02,0.4809045,1.72E-02
23:26:59,2/26/20,5.83E-02,1.07517,1.53E-02,0.8723038,1.80E-02,20.31578,5.99E-04,5.06E-04,4.02E-04,101.058,0.7707942,0.100447,1737.721,0.6976626,2.36E-02,0.57906,1.96E-02
23:57:00,2/26/20,5.83E-02,1.106073,0.0394421,0.920693,2.88E-02,23.21982,6.19E-04,5.34E-04,6.23E-04,101.0215,0.8055784,0.1030414,1737.76,1.08199,1.75E-02,0.8980513,1.45E-02
0:05:00,2/27/20,5.83E-02,1.190486,1.80E-02,0.9937221,1.47E-02,21.44932,6.67E-04,5.76E-04,7.14E-04,101.0057,0.8092117,0.1070616,1737.802,1.240006,1.93E-02,1.029205,0.0159895
0:41:00,2/27/20,5.83E-02,1.267792,1.56E-02,1.033741,1.92E-02,21.31212,7.07E-04,6.00E-04,7.76E-04,100.9428,0.8319302,0.1092719,1737.868,1.347097,2.53E-02,1.11809,2.10E-02
0:57:00,2/27/20,5.83E-02,1.333499,4.40E-02,1.095462,1.62E-02,22.19528,7.45E-04,6.36E-04,7.33E-04,100.9265,0.8200057,0.1127731,1737.735,1.27222,2.54E-02,1.055943,2.11E-02
1:37:00,2/27/20,5.83E-02,1.396544,2.75E-02,1.126177,2.08E-02,23.94287,7.77E-04,6.53E-04,7.58E-04,100.8452,0.8262244,0.1148651,1737.795,1.316203,3.76E-02,1.092448,3.12E-02
2:01:00,2/27/20,5.83E-02,1.195936,2.53E-02,0.9776902,1.38E-02,23.53745,6.67E-04,5.67E-04,0.00072,100.7652,0.8195345,0.1061241,1737.7,1.250236,0.0168664,1.037696,1.40E-02
2:25:00,2/27/20,5.83E-02,0.758805,2.61E-02,0.6312612,2.18E-02,20.62428,4.25E-04,3.66E-04,7.70E-04,100.6968,0.8249756,8.61E-02,1737.728,1.337234,2.45E-02,1.109904,2.03E-02
2:57:00,2/27/20,5.83E-02,1.023263,3.27E-02,0.8764169,2.62E-02,22.22885,5.76E-04,5.09E-04,7.95E-04,100.537,0.8387228,0.1001278,1737.738,1.379576,2.36E-02,1.145048,1.96E-02
3:27:01,2/27/20,5.83E-02,1.092115,3.52E-02,0.9191452,3.27E-02,22.19052,6.13E-04,5.33E-04,8.31E-04,100.4179,0.8406475,0.1029112,1737.761,1.442449,1.38E-02,1.197232,0.0114561
3:35:01,2/27/20,5.83E-02,1.269398,1.88E-02,1.082026,1.20E-02,20.7813,7.14E-04,6.28E-04,8.50E-04,100.4114,0.8426774,0.1120946,1737.751,1.475923,1.59E-02,1.225016,1.32E-02
4:11:01,2/27/20,5.83E-02,1.148287,3.22E-02,0.9881882,2.11E-02,21.55562,6.47E-04,5.74E-04,9.64E-04,100.2629,0.8651388,0.1063829,1737.727,1.673874,2.68E-02,1.389315,2.23E-02
4:27:01,2/27/20,5.83E-02,1.278627,1.95E-02,1.084978,0.0236981,23.13597,7.19E-04,6.30E-04,9.83E-04,100.147,0.8658218,0.1118859,1737.818,1.706092,3.01E-02,1.416057,2.50E-02
