StartTime,StartDate,Animal,VO2,SD_VO2,VCO2,SD_VCO2,Deg_C,delta_O2,deltaCO2,deltaH2O,BP,H2O_WVP,CO2,SS4_FR,H2Oml,SD_H2Oml,H2Omg,SD_H2Omg
13:20:03,3/15/20,5.83E-02,0.1516045,1.60E-02,0.1374649,7.87E-03,32.69012,8.03E-05,7.42E-05,6.90E-04,102.7231,0.3999211,4.85E-02,1859.062,1.282059,0.0298859,1.064109,2.48E-02
13:28:03,3/15/20,5.83E-02,0.1475363,1.51E-02,0.108881,9.62E-03,32.69912,7.53E-05,5.88E-05,6.72E-04,102.7108,0.396937,4.78E-02,1859.822,1.24982,3.35E-02,1.03735,2.78E-02
14:04:03,3/15/20,5.83E-02,0.1603566,1.52E-02,0.1417718,9.76E-03,32.59999,8.45E-05,7.66E-05,6.98E-04,102.6877,0.3943881,4.86E-02,1858.285,1.295343,1.69E-02,1.075134,0.0140452
14:20:03,3/15/20,5.83E-02,0.1598474,1.60E-02,0.1415222,8.66E-03,32.75892,8.43E-05,7.64E-05,6.95E-04,102.6959,0.3922894,4.86E-02,1858.295,1.290654,0.0344547,1.071243,2.86E-02
15:00:03,3/15/20,5.83E-02,0.2305176,0.0385195,0.1833285,2.82E-02,32.65122,1.19E-04,9.89E-05,6.58E-04,102.6885,0.3821413,5.09E-02,1859.761,1.222291,7.20E-02,1.014502,5.98E-02
15:24:03,3/15/20,5.83E-02,0.2162049,1.90E-02,0.1827201,0.0123741,32.66667,1.13E-04,9.87E-05,6.93E-04,102.6633,0.3834918,5.11E-02,1858.616,1.287504,2.22E-02,1.068628,1.84E-02
15:48:03,3/15/20,5.83E-02,0.1561603,0.0157856,0.1436089,1.06E-02,32.63692,8.29E-05,7.75E-05,6.13E-04,102.6842,0.3762343,0.048984,1859.775,1.138932,0.0287344,0.9453135,2.38E-02
16:20:03,3/15/20,5.83E-02,0.1620485,1.06E-02,0.1436826,0.0090424,32.6039,8.54E-05,7.75E-05,5.97E-04,102.72,0.3675304,4.90E-02,1859.854,1.109587,1.24E-02,0.9209573,1.03E-02
16:50:04,3/15/20,5.83E-02,0.1465614,0.0159838,0.1413488,8.66E-03,32.5032,7.85E-05,7.63E-05,5.58E-04,102.7252,0.3613878,4.88E-02,1859.58,1.037466,7.77E-03,0.8610972,6.45E-03
16:58:04,3/15/20,5.83E-02,0.167691,1.46E-02,0.1499172,8.52E-03,32.65755,8.84E-05,8.08E-05,5.62E-04,102.7239,0.3593892,4.92E-02,1860.748,1.045041,0.0278579,0.8673838,2.31E-02
